sample_key,log_tau_eff_step12,tau_eff_step12,material_system,n_or_p,sigma_fit_log_rmse_step12,sigma_fit_mape_step12
10.1063_1.4736417__sample_7011,-0.7310247753622597,0.4814153945857588,unknown,n,0.2440001394865006,0.1845108916179927
10.1063_1.4737898__sample_16097,-0.239217997827679,0.7872432463476685,unknown,n,0.1440458330317828,0.1189047751428433
10.1063_1.4737898__sample_16098,-1.202559121117918,0.3004244048787496,unknown,n,0.236559820215752,0.1848888577483322
10.1063_1.4737898__sample_16099,-3.5687676443914413,0.0281905730934344,unknown,n,0.3658882935879676,0.2758701059792688
10.1063_1.4740262__sample_10841,2.400286345641825,11.02633327111661,unknown,p,0.3506712794052689,0.3077115335940877
10.1063_1.4740262__sample_10842,1.0521605902085105,2.863832005866582,unknown,p,0.1758439506349672,0.1376965881699174
10.1063_1.4740262__sample_10853,2.0183680381488447,7.526032707898485,unknown,p,0.3701237276993466,0.322392011735464
10.1063_1.4740262__sample_10854,2.3893541715423745,10.906447973570137,unknown,p,0.5431317106741902,0.5332010193218457
10.1063_1.4740262__sample_10855,2.4228239556535804,11.277662006433973,unknown,p,0.3574828022700795,0.3163881212766527
10.1063_1.4740262__sample_10858,3.198196763974539,24.48833211662413,unknown,p,0.2374217903237815,0.1880997821979178
10.1063_1.4740262__sample_10862,2.4367112499161703,11.435370756628089,unknown,p,0.4557530100425273,0.4172126018716642
10.1063_1.4740262__sample_10864,3.044851699262569,21.00691563078521,unknown,p,0.2746615311971553,0.2289410605313323
10.1063_1.4740262__sample_10866,2.712185326298932,15.062155299355616,unknown,p,0.4928235871845364,0.4553196483255728
10.1063_1.4748152__sample_843,-0.077065051166476,0.9258296253504704,unknown,n,0.2088200481159013,0.1704934458419339
