sample_key,target_log_tau_eff_step18,target_tau_eff_step18,target_available_step18,target_quality_step18,target_quality_note_step18,use_for_tau_eff_ml_step18,ml_exclusion_reason_step18
10.1109_ict.2006.331327__sample_16088,-2.72105851427383,0.0658050619503052,True,medium,ok,True,ok
10.1109_ict.2006.331327__sample_16089,-2.0906439104926013,0.1236075180090242,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10914,2.4367907949622345,11.436280419900813,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10915,2.7486586785917364,15.621664152537658,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10916,3.06783674161868,21.49535234184373,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10917,3.024983199129832,20.593658716903143,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10918,2.9828443686570854,19.743895770398147,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10919,2.902363195426535,18.217145215168955,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10920,2.7483506042158226,15.616852259351685,True,medium,ok,True,ok
10.1109_ict.2006.331340__sample_10921,2.684759085022237,14.65467042535017,True,medium,ok,True,ok
10.1109_ict.2006.331349__sample_17451,0.186423736090006,1.2049327257006104,True,medium,ok,True,ok
10.1109_ict.2006.331349__sample_17452,0.426745975551466,1.532263379922471,True,medium,ok,True,ok
10.1109_ict.2006.331349__sample_17453,0.6098084112227353,1.8400788265558248,True,medium,ok,True,ok
10.1109_ict.2006.331350__sample_12428,-0.6615481409315976,0.5160517948449393,True,low,ok,False,large validation error
10.1109_ict.2006.331350__sample_12429,0.4224581340575014,1.5257073430904502,True,medium,ok,True,ok
10.1109_ict.2006.331350__sample_12430,0.7902303375921297,2.203904009738802,True,medium,ok,True,ok
10.1109_ict.2006.331350__sample_12431,1.3045510249312582,3.6860337848646783,True,medium,ok,True,ok
10.1109_ict.2006.331350__sample_12432,-0.9473625942291478,0.3877623627125835,True,low,ok,False,large validation error
10.1109_ict.2006.331350__sample_12433,0.3962821222705371,1.48628857351492,True,medium,ok,True,ok
10.1109_ict.2006.331350__sample_12434,0.8570441787527248,2.356185926277634,True,medium,ok,True,ok
10.1109_ict.2006.331350__sample_12435,1.4631385809341215,4.319495361366253,True,medium,ok,True,ok
10.1109_ict.2006.331351__sample_21602,1.9826284443562252,7.261805173059441,True,medium,ok,True,ok
10.1109_ict.2006.331351__sample_21603,1.6151159223959997,5.0284708020673445,True,medium,ok,True,ok
10.1109_ict.2006.331357__sample_16124,-4.269580467103117,0.0139876502019521,True,low,ok,False,large sigma fit error
10.1109_ict.2006.331357__sample_16125,-3.2400021790651685,0.0391638097584003,True,medium,ok,True,ok
10.1109_ict.2006.331357__sample_16126,-2.697894619409585,0.0673471549749266,True,medium,ok,True,ok
10.1109_ict.2006.331358__sample_32588,0.4318587602148718,1.5401175739235369,True,low,ok,False,large validation error
10.1109_ict.2007.4569410__sample_9898,0.8287398874863061,2.290430720618688,True,medium,ok,True,ok
10.1109_ict.2007.4569410__sample_9899,0.164559381072932,1.178873570250681,True,medium,ok,True,ok
10.1109_ict.2007.4569414__sample_7070,0.3115510059527403,1.3655414353894912,True,medium,ok,True,ok
10.1109_ict.2007.4569414__sample_7071,0.3273182681983754,1.3872429222331832,True,medium,ok,True,ok
10.1109_ict.2007.4569424__sample_7076,0.5039053703717725,1.6551727273661356,True,medium,ok,True,ok
10.1109_ict.2007.4569424__sample_7077,0.5610189263570948,1.7524572157416884,True,medium,ok,True,ok
10.1109_ict.2007.4569424__sample_7078,0.5351079194519751,1.7076325190761394,True,medium,ok,True,ok
10.1109_ict.2007.4569432__sample_16136,0.38347679296755,1.467377498576377,True,medium,ok,True,ok
10.1109_ict.2007.4569432__sample_16137,-5.422330359652787,0.0044168418155525,True,low,ok,False,large sigma fit error
10.1109_ict.2007.4569432__sample_16138,-5.094229379423945,0.0061320302832549,True,low,ok,False,large sigma fit error
10.1109_ict.2007.4569432__sample_16139,-4.5239324309565125,0.010846287418543,True,low,ok,False,large sigma fit error
10.1109_ict.2007.4569434__sample_29447,-0.9938766684036432,0.370138999930779,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29448,-0.9344723504687548,0.392793067939759,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29449,-0.920239310393166,0.3984236827466838,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29528,-1.318705187154131,0.2674814162146524,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29531,-0.8982050935499918,0.4073000695577951,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29544,-1.069684078038233,0.3431168984615068,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29545,-1.1502240010950628,0.316565850339243,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29550,-0.7930711099090534,0.4524531261126993,True,medium,ok,True,ok
10.1109_ict.2007.4569434__sample_29552,-0.8807522217114273,0.4144710202903301,True,medium,ok,True,ok
10.1109_ict.2007.4569439__sample_27182,-1.101183175455729,0.3324774717038696,True,medium,ok,True,ok
10.1109_ict.2007.4569439__sample_27183,-1.202696923819872,0.3003830084363606,True,medium,ok,True,ok
10.1109_ict.2007.4569439__sample_27184,-0.970649874689534,0.3788367616647834,True,medium,ok,True,ok
10.1109_ict.2007.4569439__sample_27185,-0.7518244100817681,0.4715055480915046,True,medium,ok,True,ok
10.1109_ict.2007.4569439__sample_27190,-0.5721864804041679,0.5642902792278295,True,medium,ok,True,ok
10.1109_ict.2007.4569439__sample_27191,-0.5832918807720889,0.5580582782355503,True,medium,ok,True,ok
10.1109_ict.2007.4569453__sample_5182,0.7989910081212297,2.2232965082610545,True,medium,ok,True,ok
10.1109_ict.2007.4569453__sample_5183,0.5459627426249472,1.7262695358808264,True,medium,ok,True,ok
